,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
183,183,3BHKApartment,2,Furnished,Bachelors/Family,1198 sqft,"40,000","MantriCelestia,Gachibowli,OuterRingRoad"
184,184,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"17,500",MasabTank
185,185,3BHKApartment,2,Semi-Furnished,Family,1655 sqft,"16,000","HyderNagar,NH"
186,186,3BHKApartment,1,Semi-Furnished,Bachelors,2000 sqft,"30,000","KhajaGuda,OuterRingRoad"
187,187,3BHKApartment,3,Semi-Furnished,Family,2003 sqft,"25,000","PearlCelestial,Kokapet,OuterRingRoad"
188,188,3BHKApartment,2,Semi-Furnished,Bachelors,1600 sqft,"24,000","VertexPleasant,Kukatpally,NH"
189,189,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,2500 sqft,"35,000","BanjaraHills,NH"
190,190,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"40,000","KavuriHills,Madhapur"
191,191,3BHKApartment,2,Semi-Furnished,Bachelors,1477 sqft,"42,000",AparnaSerenePark
192,192,3BHKApartment,2,Furnished,Bachelors/Family,1570 sqft,"22,000","DaisyClassic,Kukatpally,NH"
193,193,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1380 sqft,"23,000","SMRVinayHarmonyCounty,Appajunction"
194,194,5BHKApartment,2,Semi-Furnished,Bachelors/Family,4000 sqft,"40,000","MyNestMahati,Kondapur"
195,195,3BHKApartment,2,Semi-Furnished,Family,1800 sqft,"27,000","DeLitePowerWelfareSociety,Narsingi,OuterRingRoad"
196,196,2BHKBuilderFloor,1,Unfurnished,Bachelors/Family,1095 sqft,"12,500",Gajularamaram
197,197,2BHKApartment,1,Unfurnished,Bachelors,1477 sqft,"12,500","SunCity,Bandlaguda,ChevellaRoad"
198,198,2BHKApartment,2,Unfurnished,Bachelors/Family,1000 sqft,"12,000",Gudimalkapur
199,199,3BHKApartment,2,Furnished,Family,1260 sqft,"18,000",Tarnaka
200,200,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"25,000",Appajunction
201,201,3BHKApartment,2,Furnished,Bachelors,1610 sqft,"25,000",RaghuramA
202,202,3BHKApartment,2,Unfurnished,Bachelors,1495 sqft,"23,000","SMRVinayCity,Miyapur,NH"
203,203,3BHKApartment,2,Unfurnished,Bachelors/Family,1300 sqft,"16,000",Nizampet
204,204,3BHKApartment,3,Semi-Furnished,Family,2600 sqft,"38,000","Yousufguda,NH"
205,205,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1265 sqft,"18,500","Chandanagar,NH"
206,206,3BHKApartment,1,Unfurnished,Bachelors,2285 sqft,"50,000","LumbiniAvenue,Gachibowli,OuterRingRoad"
207,207,3BHKApartment,2,Furnished,Family,1425 sqft,"22,000","Kokapet,OuterRingRoad"
208,208,3BHKApartment,3,Semi-Furnished,Bachelors,2200 sqft,"31,000",Kothaguda
209,209,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1840 sqft,"38,000","GachibowliCUC,OuterRingRoad"
210,210,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1525 sqft,"25,000","Hafeezpet,NH"
211,211,3BHKApartment,1,Semi-Furnished,Bachelors,1477 sqft,"10,000","KukatpallyHousingBoardColony,NH"
212,212,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1250 sqft,"16,500",Attapur
213,213,1BHKPenthouse,2,Semi-Furnished,Bachelors/Family,1477 sqft,"13,000",LakshmiNagarColony-HanumanNagarColony
214,214,1BHKApartment,1,Furnished,Bachelors,1477 sqft,"25,000",Gachibowli
215,215,3BHKApartment,2,Furnished,Bachelors/Family,2259 sqft,"50,000","LodhaMeridian,KPHBPhase"
216,216,2BHKApartment,1,Furnished,Bachelors/Family,1365 sqft,"36,000","MagnamOpus,Gachibowli,OuterRingRoad"
217,217,2BHKApartment,1,Semi-Furnished,Family,1314 sqft,"30,000","MyHomeAvatar,Narsingi,OuterRingRoad"
218,218,3BHKApartment,2,Semi-Furnished,Family,1925 sqft,"32,000","SMRVinayFountainhead,Hyderabad"
219,219,2BHKApartment,2,Semi-Furnished,Family,800 sqft,"10,000","BaghAmberpet,Amberpet,NH"
220,220,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1400 sqft,"16,000",Attapur
221,221,3BHKApartment,2,Unfurnished,Bachelors/Family,1600 sqft,"19,000","AakritiHoneydew,Tellapur,OuterRingRoad"
222,222,3BHKApartment,2,Semi-Furnished,Family,1500 sqft,"17,500","Kukatpally,NH"
223,223,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"20,000","HillCountyTownship,Bachupally,OuterRingRoad"
224,224,2BHKApartment,1,Unfurnished,Bachelors/Family,810 sqft,"13,000",Serilingampally
225,225,2BHKApartment,2,Semi-Furnished,Family,1450 sqft,"26,000","ProjectGoldenHabitat,Madhapur"
226,226,3BHKApartment,3,Semi-Furnished,Family,2192 sqft,"40,000","WesternExoticaProject,Kothaguda"
227,227,3BHKApartment,3,Semi-Furnished,Bachelors/Family,1800 sqft,"26,000","AdityaImperialHeights,Hafeezpet,NH"
228,228,3BHKApartment,1,Furnished,Bachelors/Family,1400 sqft,"18,000",Haripuricolony
229,229,2BHKApartment,1,Unfurnished,Bachelors,768 sqft,"15,000","Manikonda,OuterRingRoad"
230,230,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1700 sqft,"15,000",Aminpur
231,231,4BHKApartment,2,Semi-Furnished,Bachelors/Family,2800 sqft,"50,000","BanjaraHills,NH"
232,232,3BHKApartment,3,Semi-Furnished,Bachelors,1740 sqft,"18,000","APSEBColony,Hastinapuram"
233,233,3BHKApartment,3,Semi-Furnished,Family,1575 sqft,"18,000","SilverSpring,Narsingi,OuterRingRoad"
234,234,2BHKApartment,2,Unfurnished,Bachelors/Family,1250 sqft,"10,000","Bachupally,OuterRingRoad"
235,235,2BHKBuilderFloor,1,Semi-Furnished,Bachelors,1100 sqft,"13,000",Attapur
236,236,2BHKApartment,2,Unfurnished,Bachelors,1800 sqft,"25,000","BhavyasAkhilaExotica,Kukatpally,NH"
237,237,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1700 sqft,"15,000","SriMahalakshmiResidency,Attapur"
238,238,2BHKApartment,1,Semi-Furnished,Bachelors/Family,850 sqft,"18,000","Lakdikapul,NH"
239,239,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1650 sqft,"24,000","SriNainasSunrise,Manikonda,OuterRingRoad"
240,240,2BHKApartment,1,Unfurnished,Bachelors/Family,1200 sqft,"17,000",Balkampet
241,241,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1000 sqft,"16,500",Puppalaguda
242,242,3BHKApartment,3,Semi-Furnished,Bachelors/Family,2192 sqft,"45,000","WesternExoticaProject,Kothaguda"
243,243,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1525 sqft,"23,000","APGOsCoopHSGSociety,Hafeezpet"
244,244,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1150 sqft,"14,000",ToliChowki
