,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
245,245,3BHKApartment,3,Semi-Furnished,Bachelors,1775 sqft,"23,000",Hyderaguda-Attapur
246,246,3BHKApartment,2,Unfurnished,Bachelors,1490 sqft,"25,000","InfocityExcellenceandElegance,Nallagandla,Serilingampally"
247,247,3BHKApartment,2,Semi-Furnished,Bachelors,1450 sqft,"25,000",Mehdipatnam
248,248,3BHKApartment,2,Semi-Furnished,Bachelors,1200 sqft,"15,000","AparnaKanopyTulip,Kompally"
249,249,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1870 sqft,"35,000","SumukhiOrbit,Madhapur"
250,250,3BHKApartment,1,Semi-Furnished,Family,1756 sqft,"34,000","ProjectHillRidgeSprings,Gachibowli,OuterRingRoad"
251,251,3BHKApartment,1,Unfurnished,Bachelors,1500 sqft,"26,000","GayatriHills,JubileeHills"
252,252,3BHKApartment,1,Furnished,Bachelors/Family,1360 sqft,"15,000","EmeraldHeights,Nizampet"
253,253,2BHKApartment,2,Unfurnished,Bachelors/Family,1160 sqft,"16,000","NewDilshukhNagar,NH"
254,254,3BHKApartment,2,Unfurnished,Family,1450 sqft,"14,000",MaruthiNagar
255,255,2BHKApartment,1,Unfurnished,Bachelors,950 sqft,"10,000","Hayathnagar,NH"
256,256,3BHKBuilderFloor,1,Semi-Furnished,Family,2200 sqft,"35,000",Kondapur
257,257,2BHKApartment,1,Unfurnished,Bachelors/Family,670 sqft,"10,500","Quthbullapur,NH"
258,258,4BHKApartment,1,Furnished,Family,3000 sqft,"36,000",Puppalaguda
259,259,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,"18,000",Puppalaguda
260,260,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1933 sqft,"18,000","ModiSplendour,Kukatpally,NH"
261,261,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2200 sqft,"26,000",Attapur
262,262,3BHKApartment,1,Semi-Furnished,Family,1933 sqft,"18,000","ModiSplendour,Kukatpally,NH"
263,263,2BHKBuilderFloor,1,Unfurnished,Family,900 sqft,"10,200","Quthbullapur,NH"
264,264,2BHKApartment,1,Unfurnished,Bachelors/Family,900 sqft,"14,500",Borabanda
265,265,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1650 sqft,"18,000","Miyapur,NH"
266,266,3BHKApartment,2,Semi-Furnished,Family,1850 sqft,"23,000","Manikonda,OuterRingRoad"
267,267,3BHKApartment,2,Semi-Furnished,Family,1650 sqft,"36,000","AshokaLiviano,Gachibowli,OuterRingRoad"
268,268,4BHKApartment,2,Unfurnished,Bachelors,2000 sqft,"25,000","AlHasnathColony,ToliChowki"
269,269,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1477 sqft,"9,000",Narapally
270,270,3BHKApartment,2,Semi-Furnished,Family,1690 sqft,"45,000","GachibowliCUC,OuterRingRoad"
271,271,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,"13,000","NewBowenpally,NH"
272,272,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1850 sqft,"30,000",Shaikpet
273,273,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1925 sqft,"25,000","Hafeezpet,NH"
274,274,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"17,000",UppalMetro
275,275,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1750 sqft,"17,000",Bowenpally
276,276,3BHKApartment,2,Unfurnished,Bachelors,1700 sqft,"20,000",Nizampet
277,277,3BHKApartment,2,Unfurnished,Bachelors/Family,1782 sqft,"35,000","ITHeights,KhajaGuda,OuterRingRoad"
278,278,3BHKApartment,2,Semi-Furnished,Family,1450 sqft,"15,000",Bowenpally
279,279,2BHKApartment,1,Unfurnished,Bachelors,954 sqft,"10,000","ModiEmeraldHeights,Pocharam,NH"
280,280,3BHKApartment,2,Semi-Furnished,Family,1933 sqft,"16,000","ModiSplendour,Gajularamaram"
281,281,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1700 sqft,"32,000","PranavSuryaPlanet,Kothaguda"
282,282,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1008 sqft,"14,000","Miyapur,NH"
283,283,2BHKApartment,1,Unfurnished,Family,1100 sqft,"15,000","Chandanagar,NH"
284,284,2BHKBuilderFloor,1,Unfurnished,Family,1140 sqft,"8,500","Lalaguda,Secunderabad"
285,285,1BHKApartment,2,Semi-Furnished,Bachelors,1477 sqft,"8,000","LBNagar,NH"
286,286,3BHKApartment,1,Semi-Furnished,Bachelors,1350 sqft,"10,000","SriSaiRamResidency,Beeramguda,RamachandraPuram,NH"
287,287,2BHKApartment,1,Semi-Furnished,Bachelors/Family,900 sqft,"15,000",GayathriNagar
288,288,3BHKApartment,1,Furnished,Family,1745 sqft,"29,000","ConcretePalazzo,Nacharam"
289,289,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1180 sqft,"19,500","SilverNestArcade,Narayanguda"
290,290,2BHKApartment,1,Semi-Furnished,Bachelors,1314 sqft,"35,000","MyHomeAvatar,Narsingi,OuterRingRoad"
291,291,2BHKApartment,2,Furnished,Bachelors/Family,1280 sqft,"30,000",Narayanguda
292,292,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1490 sqft,"30,000","AdityaImperialHeights,Hafeezpet,NH"
293,293,3BHKApartment,2,Unfurnished,Bachelors,1500 sqft,"18,000",NewNallakunta
294,294,2BHKApartment,1,Unfurnished,Bachelors,1278 sqft,"33,000","LodhaMeridian,KukatpallyHousingBoardColony,NH"
295,295,2BHKApartment,2,Semi-Furnished,Bachelors,1600 sqft,"35,000","BanjaraHills,NH"
296,296,3BHKApartment,1,Semi-Furnished,Family,1545 sqft,"35,000","VajrasJasmineCounty,Gachibowli,OuterRingRoad"
297,297,3BHKApartment,1,Semi-Furnished,Bachelors,2430 sqft,"40,000","SMRVinayIconia,Kondapur"
298,298,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1834 sqft,"40,400","MyHomeAvatar,Narsingi,OuterRingRoad"
299,299,2BHKApartment,2,Unfurnished,Bachelors,1100 sqft,"17,000","KrishnaGiriEnclave,Secunderabad"
300,300,3BHKApartment,1,Semi-Furnished,Family,1738 sqft,"48,000","PrestigeIvyLeague,HitechCity"
301,301,3BHKApartment,1,Unfurnished,Bachelors,2440 sqft,"48,000","JayabheriOrangeCounty,Gachibowli,OuterRingRoad"
302,302,3BHKApartment,3,Semi-Furnished,Family,1490 sqft,"22,000","JanapriyaUtopiaII,Upparpally,HyderabadExpressway"
303,303,3BHKApartment,2,Semi-Furnished,Family,2690 sqft,"40,000","SRISAIRAMTowers,Hafeezpet,NH"
304,304,2BHKBuilderFloor,2,Unfurnished,Bachelors/Family,1000 sqft,"18,000",ShivamRd
305,305,2BHKApartment,1,Unfurnished,Bachelors/Family,1000 sqft,"16,000","KukatpallyHousingBoardColony,NH"
306,306,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,"20,000",Kondapur
307,307,3BHKApartment,2,Furnished,Bachelors,1477 sqft,"44,000",Hitech
308,308,1BHKBuilderFloor,2,Unfurnished,Bachelors/Family,1477 sqft,"6,500",Vidyanagar
309,309,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"45,000","GolfView,Gachibowli,OuterRingRoad"
310,310,3BHKApartment,3,Semi-Furnished,Family,2265 sqft,"40,000","RainbowVistasRockGardens,HitechCity"
311,311,3BHKApartment,2,Unfurnished,Bachelors,1477 sqft,"30,000",Kondapur
312,312,2BHKBuilderFloor,1,Semi-Furnished,Family,1150 sqft,"17,000","GayatriHills,JubileeHills"
313,313,3BHKApartment,2,Semi-Furnished,Bachelors,1477 sqft,"25,000",West
314,314,2BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1260 sqft,"25,000","AyyappaSociety,Madhapur"
315,315,3BHKApartment,2,Unfurnished,Bachelors/Family,1558 sqft,"28,000","InduFortuneFieldsapartments,HitechCity"
316,316,2BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1345 sqft,"20,000",Kondapur
317,317,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1380 sqft,"15,000",Dammaiguda
318,318,2BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1100 sqft,"20,000","BasheerBagh,NH"
319,319,3BHKApartment,1,Semi-Furnished,Bachelors,2300 sqft,"45,000",MasjidBanda
320,320,3BHKApartment,1,Semi-Furnished,Family,1650 sqft,"30,000","Rethibowli,Mehdipatnam"
321,321,3BHKApartment,1,Semi-Furnished,Family,1545 sqft,"35,000","VajrasJasmineCounty,FinancialDistrict,NanakramGuda"
322,322,1BHKApartment,1,Unfurnished,Bachelors,1477 sqft,"13,000",Kondapur
323,323,1BHKApartment,1,Unfurnished,Bachelors/Family,1477 sqft,"10,000",Kondapur
324,324,2BHKApartment,1,Unfurnished,Bachelors,1477 sqft,"20,000","HemadurgaTowers,Miyapur,NH"
325,325,3BHKApartment,3,Semi-Furnished,Bachelors/Family,1477 sqft,"44,000",RajapushpaAtria
326,326,2BHKApartment,2,Furnished,Bachelors/Family,1477 sqft,"31,000",AparnaCyberCommune
327,327,2BHKApartment,2,Semi-Furnished,Family,1295 sqft,"30,000","AparnaSerenePark,MasjidBanda"
328,328,2BHKApartment,1,Furnished,Bachelors/Family,1262 sqft,"41,000","Ashvita,HitechCity"
329,329,3BHKApartment,3,Semi-Furnished,Family,1600 sqft,"31,000","AparnaCyberZon,Nallagandla,Serilingampally"
330,330,3BHKApartment,2,Semi-Furnished,Bachelors,2345 sqft,"36,000","ACEAtlantis,KhajaGuda,OuterRingRoad"
331,331,2BHKPenthouse,4,Unfurnished,Bachelors,1100 sqft,"29,000",JubileeHills
332,332,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1550 sqft,"23,000",Narayanguda
333,333,1BHKApartment,1,Semi-Furnished,Bachelors,1477 sqft,"15,000",Kothaguda
334,334,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1477 sqft,"40,000",AdityaEmpressTowers
335,335,3BHKApartment,3,Semi-Furnished,Bachelors,1800 sqft,"28,000","AdityaImperialHeights,Hafeezpet,NH"
336,336,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,"35,000",HitechCity
337,337,3BHKApartment,2,Semi-Furnished,Family,1854 sqft,"45,000","LodhaMeridian,Kukatpally,NH"
338,338,3BHKApartment,2,Furnished,Family,2350 sqft,"50,000","NagarjunaResidency,PJanardhanReddyNagar,Gachibowli,OuterRingRoad"
339,339,3BHKApartment,3,Semi-Furnished,Family,2400 sqft,"45,000","ApurupaAvenue,KavuriHills,Madhapur"
340,340,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1485 sqft,"23,000",Kondapur
341,341,2BHKApartment,1,Unfurnished,Bachelors/Family,900 sqft,"16,000","BanjaraHills,NH"
342,342,4BHKApartment,3,Semi-Furnished,Bachelors/Family,2550 sqft,"38,000","Ameerpet,NH"
343,343,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2160 sqft,"42,000","MyHomeVihanga,Gachibowli,OuterRingRoad"
344,344,3BHKApartment,2,Furnished,Family,1628 sqft,"26,000","PBELCity,Appajunction"
345,345,3BHKApartment,3,Semi-Furnished,Bachelors,1477 sqft,"10,000",
346,346,3BHKApartment,1,Unfurnished,Bachelors,2200 sqft,"50,000","AparnaAura,JubileeHills"
347,347,4BHKApartment,2,Semi-Furnished,Bachelors/Family,2300 sqft,"50,000","JainsCarltonCreek,Gachibowli,OuterRingRoad"
348,348,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2400 sqft,"48,000","RamkyTowersElite,Madhapur"
349,349,3BHKApartment,3,Semi-Furnished,Family,1600 sqft,"25,000","ShanthiNagar-Kukatpally,NH"
350,350,3BHKApartment,2,Semi-Furnished,Bachelors,1800 sqft,"22,000","SanjeevaReddyNagar,NH"
351,351,3BHKBuilderFloor,1,Semi-Furnished,Bachelors/Family,1300 sqft,"25,000","SuryaNagar,ToliChowki"
352,352,3BHKApartment,2,Unfurnished,Bachelors/Family,1834 sqft,"40,000","Gachibowli,OuterRingRoad"
353,353,2BHKApartment,1,Unfurnished,Bachelors/Family,1250 sqft,"18,000",WestMarredpally
354,354,2BHKApartment,1,Semi-Furnished,Bachelors,1200 sqft,"17,000","SamataColony,ToliChowki"
355,355,3BHKApartment,2,Unfurnished,Bachelors,2200 sqft,"50,000","BanjaraHills,NH"
356,356,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1504 sqft,"18,000","Manikonda,OuterRingRoad"
357,357,3BHKApartment,2,Furnished,Bachelors/Family,1900 sqft,"45,000",Kondapur
358,358,3BHKApartment,1,Semi-Furnished,Family,1615 sqft,"45,000","AparnaSerenePark,Kondapur"
359,359,2BHKApartment,3,Semi-Furnished,Bachelors/Family,907 sqft,"18,000","SolankiGulmohar,BrahmanWadi,Begumpet"
360,360,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1233 sqft,"17,500",Attapur
361,361,3BHKApartment,2,Semi-Furnished,Family,2000 sqft,"14,000","Saroornagar,NH"
362,362,2BHKBuilderFloor,1,Semi-Furnished,Bachelors/Family,1800 sqft,"15,000",FortViewColony
363,363,3BHKApartment,1,Semi-Furnished,Bachelors,2092 sqft,"35,000","MorningRaga,AlkapurTownship,Manikonda,OuterRingRoad"
364,364,1BHKPenthouse,1,Unfurnished,Bachelors/Family,1477 sqft,"7,500","Uppal,NH"
365,365,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1210 sqft,"13,000",Nagaram
366,366,2BHKApartment,1,Unfurnished,Bachelors/Family,6000 sqft,"17,000","Chandanagar,NH"
367,367,3BHKApartment,3,Furnished,Family,1650 sqft,"25,000","SuryaSravanthiApartment,Kothaguda"
368,368,2BHKApartment,2,Furnished,Bachelors/Family,1140 sqft,"15,000","LotusAvenues,Miyapur,NH"
369,369,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,"12,000","Saroornagar,NH"
370,370,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1217 sqft,"30,000","Kokapet,OuterRingRoad"
371,371,2BHKApartment,1,Furnished,Bachelors/Family,1350 sqft,"39,000","Kokapet,OuterRingRoad"
372,372,2BHKApartment,2,Furnished,Family,1230 sqft,"26,000",PoliceColony-Kondapur
373,373,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1685 sqft,"30,000","RajapushpaAtria,Kokapet,OuterRingRoad"
374,374,3BHKApartment,2,Semi-Furnished,Bachelors,1800 sqft,"18,000",BandlagudaJagir
375,375,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1514 sqft,"20,000","Jeedimetla,NH"
376,376,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1450 sqft,"15,000","Bachupally,OuterRingRoad"
377,377,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"20,000","DurgabaiDeshmukhColony,Amberpet"
378,378,3BHKApartment,2,Semi-Furnished,Family,1655 sqft,"30,000","Nallagandla,Serilingampally"
379,379,2BHKApartment,1,Unfurnished,Bachelors,1413 sqft,"13,000","Malakpet,NH"
380,380,2BHKApartment,2,Furnished,Bachelors,1010 sqft,"28,500","MalaysianTownship,Kukatpally,NH"
381,381,2BHKApartment,2,Unfurnished,Bachelors/Family,1477 sqft,"14,500",IDPLColony
382,382,3BHKApartment,2,Semi-Furnished,Family,1500 sqft,"28,000","Hafeezpet,NH"
383,383,3BHKApartment,1,Unfurnished,Bachelors/Family,1685 sqft,"27,000","AccurateWindChimes,Narsinghi"
384,384,2BHKBuilderFloor,2,Unfurnished,Bachelors/Family,1477 sqft,"8,500","Beeramguda,RamachandraPuram,NH"
385,385,3BHKApartment,3,Semi-Furnished,Bachelors,1024 sqft,"30,000","AdityaImperialHeights,Hafeezpet,NH"
386,386,3BHKApartment,2,Furnished,Family,1685 sqft,"45,000","Gachibowli,OuterRingRoad"
387,387,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,"30,000","Manikonda,OuterRingRoad"
388,388,3BHKApartment,1,Unfurnished,Bachelors/Family,2050 sqft,"36,000","AdityaGardenia,BanjaraHills,NH"
389,389,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000","MyHomeAvatar,Narsingi,OuterRingRoad"
390,390,1BHKApartment,2,Unfurnished,Bachelors/Family,1477 sqft,"8,000",Charminar
391,391,3BHKApartment,2,Semi-Furnished,Family,1410 sqft,"20,000","SMRVinayHarmonyCounty,Appajunction"
392,392,3BHKApartment,1,Unfurnished,Bachelors/Family,1850 sqft,"36,000","AdityaGardenia,BanjaraHills,NH"
393,393,3BHKApartment,1,Furnished,Bachelors/Family,1477 sqft,"30,000","AdityaImperialHeights,Hafeezpet,NH"
394,394,1BHKApartment,1,Semi-Furnished,Bachelors,1477 sqft,"15,000",Kondapur
395,395,2BHKApartment,2,Unfurnished,Bachelors,1200 sqft,"14,000",Musheerabad
396,396,3BHKApartment,1,Semi-Furnished,Bachelors,1525 sqft,"25,000",FriendsColony
397,397,2BHKApartment,3,Semi-Furnished,Family,1150 sqft,"18,000",khairtabad
398,398,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,"15,000","GoldenHeightsColony,Janachaitanyacolony,HyderabadExpressway"
399,399,2BHKBuilderFloor,1,Semi-Furnished,Bachelors/Family,1200 sqft,"13,000",Chilakalguda
400,400,3BHKApartment,2,Furnished,Bachelors/Family,1580 sqft,"50,000","Habsiguda,NH"
401,401,2BHKApartment,1,Unfurnished,Bachelors/Family,950 sqft,"8,500","BNReddyNagar,NagarjunaSagarRoad"
402,402,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1678 sqft,"16,000","Upparpally,HyderabadExpressway"
403,403,2BHKApartment,2,Unfurnished,Bachelors,1175 sqft,"12,000","Anandbagh,Secunderabad,MoulaAliRoad"
404,404,1BHKPenthouse,1,Unfurnished,Bachelors/Family,1477 sqft,"7,000",Langar
405,405,3BHKApartment,2,Semi-Furnished,Bachelors,1632 sqft,"25,000","LBNagar,NH"
406,406,2BHKApartment,1,Unfurnished,Bachelors,1000 sqft,"15,000","LangarHouseSouth,HyderabadExpressway"
407,407,4BHKBuilderFloor,1,Semi-Furnished,Bachelors,1650 sqft,"23,000",ToliChowki
408,408,3BHKApartment,1,Semi-Furnished,Family,1690 sqft,"37,000","MyHomeVihanga,Gachibowli,OuterRingRoad"
409,409,1BHKApartment,1,Unfurnished,Bachelors/Family,1477 sqft,"15,000","MythriNagar,Hafeezpet,NH"
410,410,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,"26,000","HillCountyTownship,Bachupally,OuterRingRoad"
411,411,3BHKApartment,1,Furnished,Bachelors,1648 sqft,"24,000","TNRSulakshna,LBNagar,NH"
412,412,3BHKApartment,2,Semi-Furnished,Family,1570 sqft,"17,000","ManasaVensaAshraya,Saroornagar,NH"
413,413,3BHKApartment,1,Semi-Furnished,Family,1490 sqft,"30,000","AdityaImperialHeights,Hafeezpet,NH"
414,414,4BHKApartment,3,Unfurnished,Family,2675 sqft,"50,000","AshokaLiviano,PJanardhanReddyNagar,Gachibowli,OuterRingRoad"
415,415,3BHKServiceApartment,3,Furnished,Bachelors/Family,1660 sqft,"26,000","EastOakLuxuryApartments,Pocharam,NH"
416,416,3BHKApartment,2,Furnished,Bachelors/Family,1490 sqft,"35,000","AdityaImperialHeights,Hafeezpet,NH"
417,417,2BHKApartment,1,Unfurnished,Bachelors/Family,650 sqft,"8,500","LIGApartments,Kukatpally,NH"
418,418,3BHKApartment,2,Furnished,Bachelors/Family,1550 sqft,"40,000",Narayanguda
419,419,2BHKApartment,1,Furnished,Bachelors/Family,1200 sqft,"15,000","DeviBagh,Bahadurpura"
420,420,3BHKApartment,2,Semi-Furnished,Family,1410 sqft,"23,000","Tellapur,OuterRingRoad"
421,421,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"21,000","Sriramnagar,Kothaguda"
422,422,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1530 sqft,"28,000","VazhraaNirmaanPushpak,Nizampet"
423,423,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,"25,000",P&TColony
424,424,3BHKApartment,1,Semi-Furnished,Family,1725 sqft,"30,000","HonerVivantis,Nalagandala"
425,425,3BHKApartment,2,Unfurnished,Bachelors/Family,1477 sqft,"15,000",SriMahalakshmiResidency
426,426,3BHKServiceApartment,1,Furnished,Bachelors/Family,1800 sqft,"40,000",Attapur
427,427,3BHKApartment,3,Semi-Furnished,Family,1520 sqft,"28,000",WestMarredpally
428,428,2BHKApartment,1,Furnished,Bachelors,1600 sqft,"11,500",Almasguda
429,429,3BHKApartment,1,Semi-Furnished,Bachelors,1350 sqft,"15,000","SunCity,Bandlaguda,ChevellaRoad"
430,430,3BHKApartment,2,Furnished,Bachelors/Family,2200 sqft,"50,000","WhistlingWoods,Kokapet,OuterRingRoad"
431,431,2BHKApartment,1,Furnished,Bachelors,1200 sqft,"25,000",ToliChowki
432,432,2BHKApartment,2,Furnished,Bachelors,1500 sqft,"30,500","KhajaGuda,OuterRingRoad"
433,433,3BHKApartment,2,Unfurnished,Bachelors/Family,1643 sqft,"25,000","RVKaustubha,Kompally"
434,434,3BHKApartment,2,Furnished,Bachelors/Family,1505 sqft,"40,000","AparnaSerenePark,Kondapur"
435,435,2BHKApartment,1,Unfurnished,Bachelors/Family,1050 sqft,"8,000","Bachupally,OuterRingRoad"
436,436,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1477 sqft,"40,000",VajrasJasmineCounty
437,437,3BHKApartment,3,Semi-Furnished,Family,1600 sqft,"22,000","AdvocatesColony,HimayathNagar"
438,438,2BHKApartment,2,Furnished,Bachelors/Family,1050 sqft,"28,000",PoliceColony-Kondapur
439,439,3BHKApartment,2,Semi-Furnished,Family,1920 sqft,"27,000","HyderNagar,NH"
440,440,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,"15,000",Gajularamaram
441,441,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,"16,000",MADEENAGUDA
442,442,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1275 sqft,"20,000","Madinaguda,Hafeezpet,NH"
443,443,2BHKBuilderFloor,2,Furnished,Bachelors/Family,1200 sqft,"30,000","PJanardhanReddyNagar,Gachibowli,OuterRingRoad"
444,444,2BHKBuilderFloor,2,Furnished,Family,1200 sqft,"28,000","AlkapurTownship,Manikonda,OuterRingRoad"
445,445,3BHKApartment,2,Semi-Furnished,Bachelors,1525 sqft,"23,000","SMRSowmya,WestMarredpally"
446,446,2BHKApartment,1,Furnished,Bachelors,1100 sqft,"26,000",ToliChowki
447,447,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,"15,000","BommarilluHomes,MadhuraNagar-Nizampet"
448,448,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"17,500","SapthagiriEnclave,Bachupally,OuterRingRoad"
449,449,3BHKApartment,2,Semi-Furnished,Family,1250 sqft,"24,000","MalaysianTownship,Kukatpally,NH"
450,450,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000","Narsingi,OuterRingRoad"
451,451,4BHKApartment,2,Semi-Furnished,Bachelors,1850 sqft,"38,000",Begumpet
452,452,2BHKApartment,2,Semi-Furnished,Bachelors/Family,1314 sqft,"30,000","MyHomeAvatar,Narsingi,OuterRingRoad"
453,453,3BHKApartment,2,Unfurnished,Family,1475 sqft,"15,000",SivajiNagar-Chandanagar
454,454,2BHKApartment,1,Unfurnished,Bachelors/Family,1090 sqft,"30,000","Lakdikapul,NH"
455,455,2BHKApartment,2,Unfurnished,Bachelors/Family,150 sqft,"9,000","Uppal,NH"
456,456,3BHKApartment,2,Semi-Furnished,Bachelors,1400 sqft,"25,000","DundooClassicTower,Boiguda"
457,457,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1365 sqft,"15,000","JaiJawaharNagar,Secunderabad"
458,458,2BHKApartment,2,Semi-Furnished,Bachelors/Family,970 sqft,"12,000",Ashgoli
459,459,2BHKApartment,1,Unfurnished,Bachelors,1150 sqft,"12,000",Adibatla
460,460,3BHKApartment,2,Furnished,Family,1477 sqft,"25,000",Kondapur
461,461,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"18,000",ToliChowki
462,462,2BHKApartment,1,Furnished,Bachelors/Family,900 sqft,"16,000","Hafeezpet,NH"
463,463,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,"19,500","MayflowerHeights,Mallapur"
464,464,3BHKApartment,2,Furnished,Bachelors/Family,1100 sqft,"9,500","Bandlaguda,Nagole,SrisailamHighway"
465,465,2BHKApartment,2,Unfurnished,Bachelors/Family,1000 sqft,"14,000","Gangaram,Chandanagar,NH"
466,466,3BHKApartment,3,Semi-Furnished,Bachelors/Family,1870 sqft,"42,000","VajrasJasmineCounty,Gachibowli,OuterRingRoad"
467,467,3BHKApartment,3,Semi-Furnished,Bachelors,2535 sqft,"30,000","PatelsBrightView,Yapral"
468,468,3BHKApartment,2,Unfurnished,Bachelors,1500 sqft,"27,000","Secunderabad,RashtrapatiROAd"
469,469,3BHKApartment,3,Semi-Furnished,Bachelors,1654 sqft,"16,000","VSRCelestialTowers,Gajularamaram"
470,470,3BHKApartment,5,Semi-Furnished,Family,2300 sqft,"28,000","SMRVinayHarmonyCounty,Appajunction"
471,471,3BHKBuilderFloor,2,Furnished,Bachelors,"40,000 sqft","25,000","ChitrapuriColony,Manikonda,OuterRingRoad"
472,472,3BHKApartment,1,Semi-Furnished,Bachelors/Family,2630 sqft,"45,000","HallmarkKSNResidency,Kondapur"
473,473,3BHKApartment,2,Furnished,Bachelors/Family,1800 sqft,"45,000","VittalRaoNagar,HitechCity"
474,474,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1275 sqft,"20,000","NCLSindhu,SatyamEnclave,Komapally,NH"
475,475,2BHKApartment,2,Unfurnished,Bachelors,1100 sqft,"11,000","ManovikasNagar,Secunderabad,NH"
476,476,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1834 sqft,"40,000","MyHomeAvatar,Narsingi,OuterRingRoad"
477,477,3BHKApartment,2,Semi-Furnished,Bachelors,1533 sqft,"28,000","Ramanthapur,NH"
478,478,3BHKApartment,2,Semi-Furnished,Bachelors,1250 sqft,"18,000","PragathiNagar,Kukatpally"
479,479,4BHKApartment,1,Unfurnished,Bachelors/Family,1500 sqft,"9,000","Bandlaguda,Nagole,SrisailamHighway"
480,480,2BHKApartment,2,Unfurnished,Bachelors,900 sqft,"8,000",Patelguda
481,481,2BHKApartment,2,Semi-Furnished,Bachelors/Family,950 sqft,"11,000",SuchitraRoad
482,482,3BHKApartment,3,Furnished,Bachelors/Family,1555 sqft,"32,000","Hafeezpet,NH"
483,483,3BHKBuilderFloor,2,Furnished,Bachelors,1600 sqft,"26,000","GreenFieldColony,Secunderabad"
484,484,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1101 sqft,"14,500","Bachupally,OuterRingRoad"
485,485,3BHKApartment,3,Semi-Furnished,Bachelors/Family,2800 sqft,"45,000",NearGachibowliFinancilDist.
486,486,3BHKApartment,3,Semi-Furnished,Bachelors/Family,1400 sqft,"16,500","MoulaAli,MoulaAliRoad"
487,487,3BHKApartment,3,Furnished,Bachelors/Family,2200 sqft,"50,000",Gachibwoli(ORRjunction)
488,488,2BHKApartment,1,Furnished,Bachelors/Family,1314 sqft,"36,000","MyHomeAvatar,Narsingi,OuterRingRoad"
489,489,3BHKApartment,1,Unfurnished,Bachelors,1490 sqft,"35,000","AdityaNagar,Hafeezpet"
